id_cliente,horas_consumo_mensual,gasto_mensual,cantidad_contenidos_vistos,sesiones_semana,porcentaje_finalizacion,tiempo_promedio_sesion_min,cantidad_generos_consumidos,porcentaje_uso_promociones,antiguedad_cliente_meses,edad,dispositivos_registrados,porcentaje_uso_app_movil,cantidad_perfiles_creados,interacciones_mensuales_soporte,distancia_promedio_red_km,cluster,pc1,pc2
1027,39,175,52,10,92,65,4,0.1048617898759265,51,45,1,0.19,5,1,72.2,0,0.7556765529769467,1.3748296062534873
1028,38,109,11,3,46,40,3,0.6172466738639886,25,64,4,0.27,5,0,17.1,1,-2.4145952096477,-0.5855705375052551
1029,35,76,9,0,23,19,3,0.7974988250176225,22,56,3,0.8,5,2,6.3,1,-3.2610312503095296,-0.9496331964882082
1030,36,122,35,15,51,133,8,0.2822627011142852,47,23,3,0.74,1,7,70.3,0,0.5278851737003086,0.5723813133504172
1031,25,65,8,1,69,54,4,0.2466407821789909,9,26,1,0.63,1,1,31.8,1,-1.2860030458415115,-0.476289296752701
1032,18,274,73,21,48,92,7,0.4255180078827795,47,37,5,0.91,5,5,43.8,0,0.34744957887637246,2.9494499926526703
1033,30,276,32,18,74,65,4,0.2666556230953917,24,18,2,0.62,1,7,77.5,0,0.16381126230497084,1.1228656667032944
1034,54,259,33,2,96,228,9,0.0052733948994504,72,25,5,0.52,4,6,6.3,2,2.9658030775131414,-1.9901607462070496
1035,30,395,24,1,80,204,14,0.0761781713262043,61,40,5,0.41,5,1,52.2,2,2.6116839904679794,-0.4803314167769991
1036,56,426,22,1,71,224,7,0.0267704237601266,60,20,1,0.95,1,1,6.9,2,2.7412464422385847,-2.1659028095451367
1037,30,174,25,21,44,154,7,0.4986547348295621,42,21,1,0.17,2,5,30.7,0,0.11366001027054677,0.8253537718691412
1038,19,172,56,14,49,142,3,0.1964339329318527,28,42,1,0.94,5,6,64.5,0,-0.1554406620891195,2.0910282495218886
1039,18,80,13,4,13,66,1,0.6030204106435141,2,64,4,0.84,5,2,35.2,1,-3.5888683298587405,0.41044656416931824
1040,45,101,7,1,67,38,2,0.6633910350413836,27,55,5,0.22,4,3,79.8,1,-2.3052144504839505,-0.8250061566273895
1041,32,131,20,16,44,153,8,0.4167271357878531,36,32,3,0.61,3,2,45.2,0,-0.12733445226516243,0.7330086210443596
1042,40,108,5,4,23,70,3,0.3277784969053464,6,38,2,0.88,3,6,26.4,1,-2.042478327867275,-1.3890484416543105
1043,42,157,69,6,57,89,9,0.2749899688094916,53,52,4,0.61,4,4,18.4,0,0.6613742682160435,0.4194691372807395
1044,62,584,37,7,79,170,5,0.1899041247315284,43,63,3,0.92,4,7,28.7,2,2.028391655615873,-1.5227975553224615
1045,24,264,29,21,59,147,7,0.4920130301141908,21,69,5,0.95,4,5,30.4,0,-0.3190259042778016,1.517146317742955
1046,30,72,16,2,60,27,3,0.5508596635694922,11,31,1,0.48,3,2,6.4,1,-2.0643553909466354,-0.5591601466012088
1047,36,263,27,8,79,63,3,0.4587153639624047,22,53,5,0.44,4,1,30.2,1,-0.8592004916496463,0.22223397930231775
1048,44,61,18,4,67,55,3,0.6930743821066696,18,29,2,0.94,1,5,37.7,1,-1.7400144061386167,-0.8832352084366019
1049,45,71,6,0,14,16,2,0.7365303577375555,17,34,4,0.71,5,0,58.1,1,-3.3714113175042466,-0.8875292402457718
1050,28,164,46,13,65,106,3,0.3751138868384333,49,56,4,0.2,5,6,52.9,0,-0.40594250288260614,1.2465570137000528
1051,46,275,13,1,77,232,7,0.0369042038712754,54,26,2,0.14,2,7,57.0,2,1.917326314745478,-1.9953458254215006
1052,51,263,35,7,83,249,14,0.0073366405781195,95,52,3,0.61,2,2,1.7,2,3.781135259786068,-1.1299479508647785
1053,36,252,24,7,83,226,6,0.0894824733646909,74,30,3,0.94,5,5,18.2,2,2.1288739475409515,-0.6365060931203459
1054,44,441,34,7,74,147,14,0.1127930184037672,56,32,4,0.86,1,7,53.3,2,2.779881261066785,-0.9067177932001987
1055,39,119,12,0,26,17,4,0.4843819648583337,10,35,4,0.71,3,2,39.2,1,-2.459488323287382,-1.0248390631726214
1056,32,482,22,2,84,230,10,0.1173682236041758,47,68,1,0.23,3,5,1.4,2,2.3516274824922667,-1.3648491435954777
1057,22,232,63,23,81,100,7,0.245232918559454,45,50,3,0.33,1,1,64.6,0,1.012512759383654,3.1230942087154534
1058,16,178,64,10,76,92,7,0.1407129890481615,25,23,2,0.89,3,0,62.1,0,0.6190144676767785,2.4631695786328422
1059,20,231,23,15,69,154,9,0.4369256141192726,22,44,3,0.26,4,0,44.3,0,0.10878552485362201,1.4148922656556615
1060,33,150,59,9,75,83,9,0.4586441051896083,39,40,1,0.35,5,4,6.3,0,0.3990257180915953,0.7943320364679054
1061,45,104,4,6,15,55,2,0.7576255934765517,15,44,4,0.22,5,5,61.6,1,-3.1734005747575202,-0.9406187249405283
1062,25,255,45,23,84,103,7,0.1748174994230093,23,51,4,0.71,1,2,47.1,0,0.7838738849278186,2.3068903679948405
1063,48,461,10,4,86,259,5,0.1221240084883265,77,63,1,0.95,3,0,62.8,2,2.5213031679245668,-0.9670363432331631
1064,54,40,4,4,52,7,1,0.4215382889059377,24,55,2,0.34,2,6,60.4,1,-2.2757515548728,-1.5010761377387318
1065,24,124,42,14,83,61,7,0.3738286191519333,39,31,4,0.53,2,0,64.4,0,0.013670823665820734,1.9574502278914503
1066,18,92,5,0,26,13,3,0.4838997206311354,6,53,5,0.67,3,3,41.9,1,-3.2307057838492437,-0.32197907115791013
1067,37,282,49,21,44,121,6,0.486010764266605,33,25,4,1.0,2,3,12.1,0,0.2472220734119376,1.2324790128184897
1068,40,386,11,3,72,120,12,0.1443193101502554,99,52,5,0.19,1,0,54.0,2,2.24503730533188,-1.0406626610309846
1069,43,191,30,13,76,73,6,0.1654623771462818,40,36,1,0.55,1,5,50.0,0,0.6317893309311077,0.09145396657071209
1070,34,588,36,4,94,161,13,0.1365964126834264,47,47,1,0.45,3,4,59.6,2,3.030225325840924,-0.2874660325026774
1071,43,537,28,6,70,142,5,0.0464425390293634,72,31,4,0.88,2,0,14.4,2,2.2587474236093876,-0.8267591131627217
1072,29,172,59,12,90,98,5,0.272611257254577,22,37,3,0.53,1,1,16.4,0,0.3899150712248989,1.3919176043568893
1073,21,298,27,14,91,74,9,0.3480291023714054,49,66,5,0.2,1,7,71.3,0,0.5759111554960679,0.9873916456401295
1074,56,406,15,9,70,274,11,0.0286255971096939,43,42,2,0.67,4,2,60.2,2,2.8138332234566956,-1.1249868110913286
1075,39,95,10,4,68,78,1,0.261749618446487,13,57,4,0.79,4,4,72.8,1,-1.6220437182241054,-0.38213428544521943
1076,48,76,4,4,33,56,4,0.5013730084775181,8,41,2,0.1,1,1,60.9,1,-2.24559905957096,-1.0863541257920024
1077,34,406,24,4,81,292,6,0.0024406144636089,90,31,4,0.87,3,4,48.2,2,3.124204413823965,-0.7771599636177833
1078,33,283,55,15,66,128,6,0.1726390867205702,29,43,3,0.27,5,1,52.7,0,0.7376782910477501,1.6946622751595335
1079,23,101,15,1,55,16,2,0.5517378992100784,18,55,3,0.6,5,2,71.2,1,-2.6187821068888137,0.4177745157693041
1080,39,230,59,15,51,167,6,0.4675002089042986,24,40,3,0.47,1,2,46.7,0,0.20467202573064838,1.2568383220935104
1081,37,376,19,1,97,150,14,0.0137843078734437,90,39,3,0.75,1,3,51.0,2,3.3391989906561554,-1.0974038873091008
1082,46,107,8,0,31,15,3,0.2736864691074403,5,65,1,0.43,1,5,13.4,1,-2.280591661532435,-1.9307150000039492
1083,35,209,65,8,93,146,3,0.2328585650619755,59,36,1,0.88,3,1,38.4,0,1.349287323758306,1.2836807143860625
1084,29,268,66,13,92,68,4,0.4211413794392046,45,63,5,0.76,4,7,57.6,0,0.22837486787541422,1.7839028590552688
1085,23,154,71,15,77,61,9,0.2387812807584911,53,68,2,0.68,1,3,22.4,0,0.8371494245243682,2.213015472914659
1086,41,136,62,16,90,113,3,0.2993471090957919,25,20,4,0.82,1,1,17.0,0,0.5123198578390488,1.3332410001111281
1087,41,62,17,4,52,26,2,0.2078566739530002,21,59,4,0.78,2,3,25.8,1,-1.7380852693763615,-0.7388382668543348
1088,24,110,9,0,29,67,1,0.3106777228513137,7,36,1,0.13,3,2,20.1,1,-2.3664623853580595,-0.7697169943657658
1089,30,473,22,7,88,242,12,0.1796108578881427,71,26,4,0.46,1,4,18.0,2,3.2616477109329978,-0.879193486308574
1090,47,58,17,4,38,34,4,0.5389046799575699,18,45,1,0.94,2,6,34.6,1,-2.0060455334454286,-1.125124036047624
1091,15,197,70,19,89,125,8,0.2763050987752913,69,37,5,0.21,5,3,72.7,0,1.4706719824915664,3.239146843687546
1092,47,67,19,6,13,5,4,0.7170713726081104,7,62,2,0.76,1,1,41.1,1,-3.157649581568458,-0.417660072691353
1093,32,537,19,3,83,281,5,0.0050772711320689,67,24,5,0.98,1,1,15.8,2,2.9710862097167223,-1.1456185720311192
1094,49,79,7,4,17,69,1,0.3331832971597697,24,31,3,0.15,2,6,7.1,1,-2.059075728306972,-2.107443679012049
1095,52,504,38,8,91,186,7,0.1305492215703749,86,26,3,0.71,3,5,56.0,2,3.2687809030904442,-0.7574203289205816
1096,25,63,3,7,33,82,4,0.7134178808637714,11,36,3,0.52,1,7,31.2,1,-2.5974372332495346,-0.6665676624994856
1097,33,97,5,5,30,18,3,0.3943940366640798,18,64,5,0.62,5,2,65.9,1,-2.6842343631035592,-0.07117022652906849
1098,24,103,7,0,32,89,3,0.2736661337976251,19,69,4,0.18,1,1,53.1,1,-2.1648446227935585,-0.46593910549087086
1099,18,148,79,22,41,60,9,0.3499045084173005,30,31,2,0.14,5,0,63.9,0,-0.04328463724196349,3.811616593907963
1100,24,249,22,16,59,64,7,0.2637646608764962,49,55,3,0.7,4,4,22.5,0,0.0723089780206733,0.8855828364516921
1101,23,172,63,7,91,145,6,0.156045270306581,29,53,3,0.84,4,3,55.7,0,0.7685267065771166,1.6922103759028067
1102,47,88,14,6,41,85,2,0.2134815849920704,14,57,3,0.8,5,5,21.9,1,-1.5536203115065335,-1.058210769108344
1103,23,159,21,17,64,162,3,0.1557424296291296,62,34,2,0.59,3,7,75.2,0,0.5329245420335017,1.089780614097324
1104,21,55,13,1,32,41,3,0.6935503255470045,21,47,3,0.19,1,6,51.3,1,-2.9742705382120307,-0.4443108118867996
1105,63,266,14,9,75,241,11,0.0213157460257348,61,26,2,0.72,1,4,26.6,2,2.9465887360766856,-2.005016939292116
1106,35,146,76,10,66,99,4,0.3402067441734613,26,50,3,0.32,4,2,22.3,0,-0.19918136628725375,1.51411641826552
1107,27,74,17,1,30,66,2,0.4532216357304124,2,69,5,0.92,5,5,16.1,1,-2.921896821058152,-0.5537508909945836
1108,30,556,30,4,88,145,9,0.1674157981406059,50,42,5,0.85,1,7,55.9,2,2.1653468695803824,-0.6292015447076824
1109,18,232,78,11,79,158,8,0.2904201608796398,66,31,2,0.74,1,3,18.3,0,1.8513163238645092,1.9332421268985667
1110,38,269,24,5,75,170,6,0.1648055511566338,62,28,5,0.95,3,3,48.0,2,1.341680764441202,-0.5085451141874909
1111,31,228,62,6,48,85,4,0.1426393012535087,28,52,2,0.13,2,6,21.9,0,-0.16233026180042479,0.35534237564342436
1112,22,136,20,15,79,101,3,0.1985608132956427,22,58,5,0.76,4,0,53.3,0,-0.6895462276118577,1.6165637645513744
1113,59,351,11,3,74,163,5,0.0273637261837922,49,31,5,0.4,4,6,65.4,2,1.396727069135613,-2.0945197592504887
1114,41,567,25,8,88,127,9,0.1518071691077699,76,47,2,0.92,2,2,62.5,2,2.74655695532524,-0.218808333629674
1115,33,99,8,0,27,16,3,0.6159051268741549,9,58,4,0.34,1,5,61.1,1,-3.18213618797666,-0.948942004187587
1116,55,296,19,7,86,270,14,0.1135890461105259,97,21,5,0.75,3,5,15.8,2,3.919641019607183,-1.9371939046001756
1117,36,519,24,5,76,256,7,0.1848792390753061,89,21,3,0.89,3,1,8.0,2,3.146019403840657,-0.9444773095553561
1118,41,201,50,24,78,158,4,0.3089738304284676,58,45,4,0.14,4,0,56.2,0,1.0039041795051293,2.160585081944409
1119,46,263,33,3,81,164,6,0.1769996713046562,82,25,2,0.46,3,0,30.1,2,1.9486444452817298,-0.7127180827759396
1120,43,84,12,6,24,8,1,0.596993105048325,13,19,4,0.79,2,5,35.2,1,-2.8009297143822085,-0.9861607465347051
1121,47,410,25,2,92,289,6,0.0042538821700774,94,58,1,0.51,1,5,3.5,2,3.438795028362012,-1.9680363497282158
1122,42,390,27,3,96,158,8,0.0105367671954457,88,63,1,0.34,2,4,21.5,2,2.7468519896537464,-1.161330934912842
1123,43,181,72,16,55,115,6,0.4936333876797181,29,39,5,0.3,5,7,3.7,0,-0.013797090614945525,0.8763337626438248
1124,44,272,58,24,44,124,8,0.1013385448171916,64,58,5,0.22,4,4,70.5,0,1.3430049822877086,1.8716265926733815
1125,28,239,49,22,43,77,8,0.3356434137883579,67,33,3,0.87,3,4,20.2,0,0.7609313828693196,1.7629832652422996
1126,18,82,14,6,18,19,1,0.4349780843242137,4,46,4,0.62,5,0,45.0,1,-3.278557585073743,0.8014486246989364
1127,41,436,35,5,98,290,10,0.1964661030160163,85,66,1,0.17,3,1,4.1,2,3.5131071058803927,-0.7640366987382632
1128,53,260,39,2,94,171,8,0.0463343402766886,59,65,5,0.44,1,3,53.7,2,1.9381265439627304,-0.9784037873429071
1129,43,182,73,23,84,169,4,0.1187781428591252,45,47,4,0.43,1,4,26.5,0,1.5635107391216743,1.8284844794689252
1130,20,35,5,4,63,51,3,0.7302715309780554,3,29,5,0.26,1,1,71.9,1,-2.842955446842237,0.3170187288491217
1131,37,90,10,2,59,86,2,0.7978014654840346,3,52,5,0.49,3,6,71.2,1,-2.7816248393019385,-0.7205415517556066
1132,17,132,75,19,64,132,6,0.3320344831351245,53,28,1,0.4,5,2,26.7,0,0.7618655054879302,3.005532718355096
1133,25,224,75,7,67,88,3,0.1177506654132947,53,63,1,0.41,1,4,72.2,0,0.46935205199922037,1.8116678771754384
1134,26,289,28,19,79,84,7,0.3940850618093811,53,67,5,0.77,5,6,79.7,0,0.3017250899511845,1.7102198340112154
1135,53,373,24,6,77,252,14,0.1065205038801524,76,38,2,0.3,3,3,66.2,2,3.4478738146603716,-1.1504678325265054
1136,42,295,32,9,52,140,4,0.2980586108055897,51,38,5,0.68,5,2,67.7,0,0.28395755323267524,0.2605923536501894
1137,46,87,3,7,49,44,3,0.7186957281844091,1,22,5,0.61,3,2,20.7,1,-2.512900990016963,-1.0796500716512445
1138,23,117,19,7,49,63,3,0.2962400631980433,13,65,3,0.61,3,3,46.6,1,-1.8158072840017108,0.5049469206067133
1139,42,82,10,3,36,42,4,0.2951630631758442,11,37,3,0.7,4,4,6.3,1,-1.8018894907254865,-1.3876459075503889
1140,60,272,19,5,99,158,6,0.1635934048238124,53,54,3,0.59,3,0,8.5,2,1.6072268242904724,-1.5133705647113393
1141,42,261,16,2,82,165,5,0.1119688624617659,79,20,2,0.89,3,3,79.9,2,1.7166939521246325,-0.7929130022999803
1142,16,207,64,7,87,129,5,0.4044111610008112,29,61,2,0.71,2,3,26.8,0,0.1330113328155691,1.6968801125426183
1143,49,92,15,5,46,26,4,0.3042520851845401,4,50,5,0.59,1,3,60.1,1,-1.8932057988647801,-0.859719770842736
1144,32,187,46,21,51,81,3,0.3328681840705093,20,26,3,0.85,4,2,64.7,0,-0.5535219431066607,2.200328348435803
1145,36,239,78,22,89,73,9,0.4875511421142766,55,26,2,0.65,4,7,68.8,0,1.4848549361176169,2.5597519252705454
1146,41,299,31,11,68,70,3,0.2294440876598165,34,21,1,0.36,4,1,79.8,0,0.1972162387227433,0.6807602258143123
1147,49,80,11,1,32,30,2,0.3641759997689995,29,52,5,0.29,2,6,20.1,1,-2.164912479855193,-1.9864845150822263
1148,21,110,3,4,50,43,3,0.6768857292499577,29,34,4,0.24,3,0,4.2,1,-2.3373319117428584,-0.3331680296358809
1149,25,235,51,6,86,137,6,0.3618044857124541,46,51,5,0.91,1,4,33.5,0,0.6368921641631805,0.7116939330853955
1150,17,200,63,19,55,160,5,0.4858081889080834,38,41,4,0.74,5,4,11.3,0,0.04277061527571246,2.366392893978917
1151,34,506,35,6,84,281,7,0.0062268165769022,64,49,3,0.94,3,6,2.8,2,3.1735237432423875,-0.8975558653909768
1152,38,131,37,19,83,139,5,0.4872773711658887,65,18,4,0.64,2,1,29.5,0,0.8030672581314547,1.1627777104233812
1153,39,264,48,12,54,86,8,0.3121417574913024,26,25,3,0.53,3,3,62.9,0,0.3558785244130085,0.8474129488716363
1154,20,93,12,4,33,64,2,0.5699901887124429,14,62,1,0.15,3,7,45.7,1,-2.7787666054667883,-0.1945191419482252
1155,44,402,39,7,86,245,8,0.0860611789798925,77,40,4,0.7,2,0,25.7,2,3.0707558687300947,-0.3738296505455126
1156,30,182,41,6,63,131,5,0.4937405629611616,36,64,5,0.62,4,4,52.7,0,-0.6426948967199446,0.6093381015725051
1157,25,50,18,5,27,42,4,0.594190314538696,25,57,3,0.99,4,6,19.3,1,-2.558478258330969,-0.16306507393738343
1158,62,351,18,8,80,298,12,0.029184414807029,51,29,5,0.32,1,5,2.1,2,3.3438788889633857,-2.5125541275253
1159,39,165,51,19,55,113,8,0.1841398319675474,52,29,2,0.58,1,7,61.4,0,1.0930562095059846,1.1114259878200217
1160,27,69,18,3,42,6,1,0.2527198994869,13,63,3,0.69,4,6,50.3,1,-2.5270314446710818,-0.12049517183777755
1161,47,62,13,3,35,26,3,0.2796294524258362,7,64,4,0.68,5,7,61.2,1,-2.3655559552885843,-1.0712787175661544
1162,43,75,18,6,43,48,1,0.7709299846131963,29,32,3,0.61,3,4,4.1,1,-2.3664662158035985,-0.9158440366060386
1163,20,35,9,5,18,36,1,0.6254363116705499,8,58,5,0.8,5,3,67.1,1,-3.7690779986841365,0.5724631241171796
1164,25,79,15,2,16,79,4,0.5318008715551752,6,36,1,0.28,3,5,49.9,1,-2.569908669157947,-0.43247895408558157
1165,40,141,45,7,80,119,4,0.2754428865958154,37,43,3,0.75,4,1,45.5,0,0.17862722728507688,0.6142412331308026
1166,41,336,21,9,82,241,7,0.1951730511638262,75,69,4,0.66,1,0,50.3,2,2.0495439349099263,-0.16259409789751617
1167,27,255,48,23,83,141,8,0.3876807113089056,41,46,2,0.91,1,1,69.3,0,1.16418253134425,2.6508010962741615
1168,19,215,75,13,42,87,4,0.2613045444495327,48,39,1,0.86,5,1,47.4,0,0.06862133679895926,2.7538426673074854
1169,36,216,26,16,88,153,7,0.3908676279065232,43,57,2,0.38,1,6,46.9,0,0.7847731479953669,0.4163025180914595
1170,37,66,4,3,53,24,4,0.2240655148474895,17,38,3,0.35,4,7,79.3,1,-1.7044200981976596,-0.8832993786446403
1171,49,65,2,7,45,70,3,0.7404211184067553,6,68,5,0.98,5,0,60.8,1,-2.8553948292176523,-0.32994461060217833
1172,21,289,70,23,93,71,5,0.3491866334253931,59,55,5,0.57,3,0,35.9,0,0.971948192167528,3.336568501822584
1173,38,44,1,2,35,12,4,0.7454195123993848,23,37,4,0.92,1,4,56.9,1,-2.8575292421367102,-1.0082272925170166
1174,24,291,33,18,41,178,7,0.4417540373478317,64,46,5,0.25,2,4,31.7,0,0.5420421537149089,1.0099502724230176
1175,31,118,2,6,15,21,3,0.3872888340178683,28,68,1,0.68,1,0,19.1,1,-2.443501642338819,-0.4270628010228854
1176,16,282,56,9,40,99,6,0.1523494642873399,64,21,5,0.83,3,5,48.2,0,0.6750013021870874,1.3174525739392273
1177,40,76,11,1,12,18,4,0.5118643691336107,10,24,4,0.95,5,2,74.3,1,-2.7801285593230296,-0.5598626615607981
1178,29,30,5,3,17,47,4,0.6240663301312676,22,45,3,0.4,3,4,74.4,1,-2.9730375196095906,-0.3273313567418246
1179,49,533,34,5,84,284,5,0.1688340897938394,83,45,3,0.75,2,2,28.0,2,3.1935945048266796,-1.094687910487825
1180,38,275,66,19,45,167,5,0.1447678477590911,69,21,5,0.58,4,6,42.7,0,1.5643268774654633,1.3488948806207142
1181,28,249,28,9,59,85,7,0.3560011867347655,54,39,2,0.15,1,5,17.7,0,0.26146339656648976,-0.166030097238548
1182,20,178,24,5,88,110,8,0.3752831463466382,39,29,3,0.72,5,0,79.7,0,0.24129769471572796,1.124333124276069
1183,53,500,20,2,94,169,13,0.1160224459390936,95,62,5,0.72,4,5,78.5,2,3.3658499128913113,-1.4485571835893527
1184,52,543,29,7,99,164,8,0.1409361525473293,81,20,4,0.94,3,4,52.3,2,3.3239052686392023,-1.0121066901611637
1185,42,238,27,22,60,60,9,0.3690408472900505,51,39,5,0.55,5,1,64.5,0,0.42147949174670346,1.4220997335117027
1186,22,115,15,1,10,59,3,0.766768531684414,10,61,3,0.31,4,6,57.5,1,-3.493851675856686,-0.2536407063172968
1187,59,363,27,1,95,255,12,0.1537038729047582,66,19,4,0.14,5,0,47.9,2,3.306530242348689,-1.618865792867991
1188,25,118,14,3,42,5,3,0.7645252138028391,14,41,5,0.47,2,3,5.2,1,-2.9564681635924837,-0.5157505614860931
1189,22,119,2,1,15,67,1,0.7198632005165873,25,51,1,0.37,2,6,36.9,1,-3.1578421150786125,-0.8794991444460087
1190,30,132,28,17,70,164,5,0.4514062245205391,57,44,4,0.78,1,7,54.3,0,0.2545643240964898,0.8009293128322381
1191,28,251,57,23,45,157,4,0.451156463616531,42,58,1,0.42,1,2,54.5,0,0.11847974184563022,2.5162019594449894
1192,48,580,10,8,99,173,11,0.0011517320996243,54,18,2,0.95,2,5,30.5,2,3.5567731354977337,-1.6642710774694545
1193,30,325,35,7,84,268,7,0.0777116202540691,64,25,4,0.97,5,0,75.4,2,2.490011440149489,0.7706862682687738
1194,50,78,17,2,53,15,3,0.3010666310856318,14,40,1,0.66,2,6,14.2,1,-1.5413846687096384,-1.6910304007362564
1195,24,293,28,7,60,85,4,0.2916727510518924,48,55,3,0.94,1,5,40.5,0,-0.12745947561920334,0.22595833369857213
1196,40,272,31,9,73,107,7,0.1984278635191993,55,23,3,0.78,2,0,55.6,0,1.1932263324780712,0.2833948993529064
1197,32,72,16,6,15,50,2,0.6292945442595648,11,39,2,0.59,2,4,56.1,1,-2.9422028704167222,-0.11934264405895548
1198,50,356,32,5,97,262,13,0.1309386162862696,90,42,4,0.26,5,6,52.2,2,3.7300217098406594,-1.1778263135615228
1199,44,573,30,6,88,153,8,0.0513553135441015,91,35,4,0.51,4,4,22.7,2,3.2451409090004115,-1.0741827554579355
1200,56,406,24,3,77,263,14,0.1220667566621836,57,34,4,0.6,1,6,13.3,2,3.3330524361644085,-2.4476141568503262
1201,19,78,13,3,35,79,3,0.6086707123789897,10,29,2,0.88,5,4,51.2,1,-2.490175509945627,0.19445110832922777
1202,21,260,50,11,88,101,7,0.2026251134805455,55,23,4,0.53,2,7,48.3,0,1.306371019250851,1.0280895165538226
1203,34,237,26,5,83,179,7,0.3532605502376089,32,43,3,0.91,2,5,15.2,0,0.7292042739697915,-0.6727188900226437
1204,51,367,30,6,97,256,14,0.0424089679816453,49,44,1,0.71,4,3,56.7,2,3.5124396782979566,-0.7878403748932419
1205,41,71,8,7,25,53,2,0.3533869986855634,4,25,3,0.22,1,6,37.0,1,-2.2800144465898553,-1.203730531788584
1206,32,271,38,8,78,133,3,0.1382141255338672,55,36,3,1.0,1,7,53.8,0,0.9693051337048677,0.11575756899366786
1207,24,188,66,21,74,167,4,0.2891567862532729,40,59,1,0.57,3,6,67.2,0,0.6768967521554705,2.7165110426664127
1208,34,51,16,4,24,39,4,0.3237116987110559,11,18,3,0.45,1,4,14.4,1,-1.9858531185791035,-1.0013187967824415
1209,24,197,32,6,74,66,7,0.3703364980349504,61,46,2,0.69,4,0,2.5,0,0.24314402031203036,0.5138139253789129
1210,36,244,58,13,88,134,9,0.2364360097896882,65,62,1,0.2,3,6,62.5,0,1.7847326074048442,1.1742430770099495
1211,36,97,6,1,41,43,1,0.2476516213933919,8,66,3,0.67,3,7,49.2,1,-2.3943565278088785,-1.182105524860504
